UOMCode,UOMDesc,NumOfDec
EA,Each,2
C,Hundred,2
K,Thousand,2
SH,Single Sheet,2
MM,Millimeter,2
CM,Centimeter,2
M,Meter,2
KM,Kilometer,2
IN,Inch,2
FT,Feet,2
YD,Yard,2
MI,Mile,2
MG,Milligram,2
G,Gram,2
KG,Kilogram,2
MT,Metric Tonne,2
OZ,Ounce,2
LB,Pound,2
ST,Stone,2
TN,Tonne,2
ML,Milliliter,2
CL,Centiliter,2
LI,Liter,2
M3,Cubic Meter,2
OZF,Fluid Ounce,2
QT,Quart,2
PI,Pint,2
GL,Gallon,2
S,Second,2
MN,Minute,2
HR,Hour,2
DY,Day,2
WK,Week,2
